salary_min_BGP,salary_max_BGP,joblocation,joblocation_num,Internship,education,experience,Average_salary,company_style,company_scale,job_industry,job_classification
20454,40909,Nanjing,Other First-tier city,No,College degree,Fresh graduate,medium,Private-owned,1000-5000,Others,Internet Software Development Engineer
20454,27272,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Joint venture,500-1000,Communications/Telecommunications/Network equipment,Software Engineer
10909,20454,Wuxi,Second-tier city,No,Bachelor,3 years,medium,Listed,500-1000,Education,Software Engineer
10909,21818,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,1000-5000,Computer Software/Hardware,Senior software engineer
8181,13636,Guangzhou,First-tier city,No,Bachelor,2 years,low,Private-owned,50-150,Engineering/Electronic technology,Java Developer
20454,27272,Nanjing,Other First-tier city,No,College degree,3 years,medium,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer
17727,30000,Guangzhou,First-tier city,No,Bachelor,3 years,medium,State-owned,150-500,Communications/Telecommunications/Network equipment,Senior software engineer
16363,24545,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Education,Senior software engineer
27272,54545,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer
13636,20454,Guangzhou,First-tier city,No,College degree,2 years,medium,Private-owned,150-500,Service,Internet Software Development Engineer
20454,27272,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Medical/Biological Engineering,Senior software engineer
13636,20454,Hainan Province,Third-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,E-commerce,Software Engineer
10909,13636,Ningbo,Second-tier city,No,Bachelor,2 years,medium,State-owned,50-150,Others,Internet Software Development Engineer
6818,13636,Chengdu,Other First-tier city,No,Bachelor,2 years,low,Foreign (except EU & US),150-500,Computer Software/Hardware,Software Engineer
5454,27272,Guangzhou,First-tier city,No,Bachelor,2 years,medium,Private-owned,Less than 50,Computer services,Software Engineer
10909,20454,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Finance,Software Engineer
4772,8181,Wuxi,Second-tier city,Yes,Bachelor,Not Required,low,Private-owned,500-1000,E-commerce,Software Engineer
10909,20454,Guangzhou,First-tier city,No,Bachelor,2 years,medium,State-owned,1000-5000,Engineering/Electronic technology,Software Engineer
13636,20454,Nanjing,Other First-tier city,No,College degree,3 years,medium,Foreign(EU & US),50-150,Computer Software/Hardware,Software Engineer
6818,13636,Ningbo,Second-tier city,No,Bachelor,1 year,low,Private-owned,50-150,Communications/Telecommunications/Network equipment,Software Engineer
13636,27272,Dongguan,Second-tier city,No,Bachelor,5 years,medium,State-owned,500-1000,Engineering/Electronic technology,Senior software engineer
16363,20454,Zhuhai,Third-tier city,No,Bachelor,5 years,medium,Foreign (except EU & US),50-150,Computer Software/Hardware,Senior software engineer
10909,13636,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer
13636,27272,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Computer Software/Hardware,Senior software engineer
9545,20454,Guangzhou,First-tier city,No,Bachelor,1 year,medium,Private-owned,Less than 50,Computer Software/Hardware,Software Engineer
13636,20454,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,E-commerce,Software Engineer
17045,22727,Guangzhou,First-tier city,No,College degree,2 years,medium,State-owned,50-150,Professional service,Web front-end development
20454,27272,Suzhou,Other First-tier city,No,Bachelor,5 years,medium,Foreign (except EU & US),500-1000,Computer services,Others
15000,24545,Ningbo,Second-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Computer Software/Hardware,Internet Software Development Engineer
13636,20454,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,E-commerce,Internet Software Development Engineer
20454,27272,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Medical/Biological Engineering,Others
10909,13636,Wuxi,Second-tier city,No,College degree,3 years,medium,Private-owned,Less than 50,Equipment,Software Engineer
10909,20454,Hangzhou,Other First-tier city,No,College degree,1 year,medium,Private-owned,50-150,Engineering/Electronic technology,Software Engineer
17727,24545,Wuxi,Second-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Others,Internet Software Development Engineer
13636,27272,Chengdu,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,Less than 50,Communications/Telecommunications/Network equipment,Java Developer
34090,47727,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Computer services,Senior software engineer
27272,34090,Guangzhou,First-tier city,No,College degree,5 years,medium,Private-owned,150-500,E-commerce,Internet Software Development Engineer
10909,20454,Yangzhou,Third-tier city,No,Bachelor,5 years,medium,Private-owned,1000-5000,Service,Senior software engineer
13636,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,E-commerce,Internet Software Development Engineer
16363,24545,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Communications/Telecommunications/Network equipment,Senior software engineer
20454,40909,Suzhou,Other First-tier city,No,Bachelor,5 years,medium,Foreign(EU & US),150-500,E-commerce,Senior software engineer
13636,20454,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,500-1000,Others,Software Engineer
20454,27272,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Computer Software/Hardware,Software Engineer
8181,10909,Guangzhou,First-tier city,No,College degree,3 years,low,Private-owned,Less than 50,Engineering/Electronic technology,Senior software engineer
10909,20454,Zhuhai,Third-tier city,No,College degree,2 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer
8181,13636,Chengdu,Other First-tier city,No,Bachelor,2 years,low,Private-owned,50-150,Computer Software/Hardware,Software Engineer
10909,17727,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Listed,Over 10k,Finance,Software Engineer
6136,8181,Guangzhou,First-tier city,No,Bachelor,2 years,low,Private-owned,50-150,Education,Software Engineer
11363,28409,Guangzhou,First-tier city,No,Bachelor,3 years,medium,State-owned,150-500,Computer Software/Hardware,Software Engineer
17045,22727,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer
5454,16363,Guangzhou,First-tier city,No,Bachelor,1 year,low,Private-owned,Less than 50,Equipment,Others
10909,20454,Hangzhou,Other First-tier city,No,Not Required,2 years,medium,Private-owned,150-500,Communications/Telecommunications/Network equipment,Software Engineer
13636,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Software Engineer
9545,34090,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,E-commerce,Software Engineer
10909,20454,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,E-commerce,Software Engineer
6136,10909,Nanjing,Other First-tier city,No,College degree,Not Required,low,Private-owned,Less than 50,Communications/Telecommunications/Network equipment,Software Engineer
13636,20454,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Manager
13636,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,500-1000,Service,Software Engineer
13636,20454,Guangzhou,First-tier city,No,Bachelor,Fresh graduate,medium,State-owned,150-500,Others,Software Engineer
9545,19090,Chengdu,Other First-tier city,No,Bachelor,1 year,medium,Listed,1000-5000,Communications/Telecommunications/Network equipment,Software Engineer
13636,20454,Foshan,Third-tier city,No,Bachelor,2 years,medium,Joint venture,1000-5000,Equipment,Internet Software Development Engineer
20454,34090,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Listed,1000-5000,Communications/Telecommunications/Network equipment,Senior software engineer
6136,10909,Changzhou,Third-tier city,No,College degree,2 years,low,Private-owned,Less than 50,Computer Software/Hardware,Software Engineer
10909,20454,Dongguan,Second-tier city,No,Bachelor,1 year,medium,Private-owned,150-500,Computer Software/Hardware,Software Engineer
20454,34090,Guangzhou,First-tier city,No,Bachelor,3 years,medium,State-owned,150-500,Computer Software/Hardware,Senior software engineer
13636,20454,Dongguan,Second-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Others,Senior software engineer
10909,13636,Wuxi,Second-tier city,No,Bachelor,2 years,medium,Private-owned,150-500,Computer Software/Hardware,Software Engineer
8181,10909,Guangzhou,First-tier city,No,Bachelor,1 year,low,State-owned,5000-10000,Communications/Telecommunications/Network equipment,Technical support/maintenance engineer
8181,11590,Chengdu,Other First-tier city,No,Bachelor,2 years,low,Private-owned,Less than 50,Computer Software/Hardware,Others
10909,16363,Guangzhou,First-tier city,No,College degree,3 years,medium,State-owned,Over 10k,Finance,Senior software engineer
20454,27272,Suzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Education,Internet Software Development Engineer
34090,54545,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,1000-5000,Education,Senior software engineer
20454,27272,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,Less than 50,Computer services,Senior software engineer
10909,16363,Suzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Equipment,System architect
8181,15000,Yangzhou,Third-tier city,No,Bachelor,2 years,medium,Private-owned,500-1000,Computer Software/Hardware,Software Engineer
16363,24545,Wuxi,Second-tier city,No,Bachelor,3 years,medium,Listed,150-500,E-commerce,Senior software engineer
10909,16363,Hangzhou,Other First-tier city,No,College degree,1 year,medium,Private-owned,50-150,Medical/Biological Engineering,Software Engineer
13636,27272,Shanghai,First-tier city,No,Bachelor,3 years,medium,Private-owned,500-1000,Others,Software Engineer
34090,54545,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Equipment,Senior software engineer
13636,20454,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Engineering/Electronic technology,Software Engineer
10909,20454,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,500-1000,Medical/Biological Engineering,Internet Software Development Engineer
5454,10909,Nanjing,Other First-tier city,Yes,Bachelor,Fresh graduate,low,Private-owned,50-150,E-commerce,Senior software engineer
16363,20454,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Listed,1000-5000,E-commerce,Java Developer
20454,27272,Chengdu,Other First-tier city,No,College degree,8 years,medium,Foreign (except EU & US),1000-5000,Others,Java Developer
10909,13636,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,State-owned,500-1000,Communications/Telecommunications/Network equipment,Senior software engineer
10909,13636,Chengdu,Other First-tier city,Yes,Bachelor,no experience,medium,Foreign (except EU & US),Over 10k,Others,Java Developer
13636,27272,Suzhou,Other First-tier city,No,College degree,3 years,medium,Listed,150-500,E-commerce,Java Developer
13636,20454,Zhuhai,Third-tier city,No,College degree,3 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Java Developer
16363,23181,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,50-150,Education,Java Developer
10909,21818,Ningbo,Second-tier city,No,Bachelor,3 years,medium,Listed,1000-5000,Computer Software/Hardware,Software Engineer
6136,8181,Suzhou,Other First-tier city,No,College degree,1 year,low,Foreign(EU & US),1000-5000,Others,Software Engineer
20454,27272,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Equipment,Senior software engineer
20454,27272,Dongguan,Second-tier city,No,Bachelor,2 years,medium,Listed,1000-5000,Computer Software/Hardware,Software Engineer
13636,27272,Suzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Medical/Biological Engineering,Senior software engineer
4090,6136,Guangzhou,First-tier city,Yes,Bachelor,Fresh graduate,low,Private-owned,150-500,Computer Software/Hardware,Java Developer
16363,24545,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Internet Software Development Engineer
20454,34090,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,State-owned,1000-5000,Engineering/Electronic technology,Software Engineer
10909,16363,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,State-owned,500-1000,Communications/Telecommunications/Network equipment,Software Engineer
8181,13636,Hainan Province,Third-tier city,No,Bachelor,3 years,low,Listed,1000-5000,Computer Software/Hardware,Software Engineer
12272,20454,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Listed,50-150,Computer services,Software Engineer
10909,20454,Hangzhou,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,50-150,Computer Software/Hardware,Software Engineer
9545,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Listed,150-500,Engineering/Electronic technology,Software Engineer
10909,13636,Wuxi,Second-tier city,No,College degree,3 years,medium,Private-owned,150-500,Engineering/Electronic technology,Internet Software Development Engineer
13636,20454,Hangzhou,Other First-tier city,No,College degree,2 years,medium,Private-owned,50-150,Computer Software/Hardware,Software Engineer
10909,13636,Chengdu,Other First-tier city,No,College degree,2 years,medium,Private-owned,1000-5000,Service,Java Developer
20454,40909,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,New,150-500,E-commerce,Senior software engineer
12272,16363,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Computer Software/Hardware,Internet Software Development Engineer
10909,13636,Shenyang,Second-tier city,No,College degree,3 years,medium,Foreign (except EU & US),150-500,Computer Software/Hardware,Software Engineer
13636,27272,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Others,Senior software engineer
16363,27272,Foshan,Third-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Equipment,Senior software engineer
16363,24545,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Listed,500-1000,Computer Software/Hardware,Senior software engineer
20454,27272,Hangzhou,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,Over 10k,Others,Senior software engineer
13636,20454,Guangzhou,First-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer
20454,27272,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,Less than 50,E-commerce,Senior software engineer
13636,20454,Wuxi,Second-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,E-commerce,Senior software engineer
16363,34090,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Communications/Telecommunications/Network equipment,Java Developer
13636,27272,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,New,150-500,Computer Software/Hardware,Software Engineer
10909,17727,Guangzhou,First-tier city,No,College degree,2 years,medium,Private-owned,500-1000,Computer Software/Hardware,Software Engineer
9545,20454,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Computer services,Senior software engineer
20454,27272,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,500-1000,Gaming,Internet Software Development Engineer
8181,16363,Jiaxing,Third-tier city,No,Bachelor,2 years,medium,Private-owned,1000-5000,Engineering/Electronic technology,Software Engineer
20454,27272,Suzhou,Other First-tier city,No,College degree,5 years,medium,Joint venture,50-150,Equipment,Senior software engineer
9545,20454,Guangzhou,First-tier city,No,Master,1 year,medium,Private-owned,5000-10000,Engineering/Electronic technology,Senior software engineer
13636,24545,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Communications/Telecommunications/Network equipment,Senior software engineer
6818,13636,Third-tier city,Third-tier city,No,College degree,2 years,low,Private-owned,150-500,Computer Software/Hardware,Software Engineer
6136,8181,Guangzhou,First-tier city,No,Bachelor,1 year,low,Private-owned,150-500,Service,Software Engineer
6818,10909,Guangzhou,First-tier city,No,College degree,1 year,low,Foreign (except EU & US),50-150,Service,Java Developer
17045,22727,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
9545,19090,Dongguan,Second-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,E-commerce,Software Engineer
16363,27272,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,State-owned,500-1000,Education,Java Developer
10909,17727,Ningbo,Second-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Service,Internet Software Development Engineer
13636,34090,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,Less than 50,Computer Software/Hardware,ERP
13636,16363,Hangzhou,Other First-tier city,No,College degree,3 years,medium,Private-owned,50-150,Computer services,Software Engineer
16363,20454,Changzhou,Third-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,E-commerce,Software Engineer
8181,12272,Guangzhou,First-tier city,No,Bachelor,1 year,low,Private-owned,150-500,Computer Software/Hardware,Java Developer
20454,27272,Shanghai,First-tier city,No,Bachelor,3 years,medium,Foreign(EU & US),150-500,Service,Senior software engineer
10909,20454,Guangzhou,First-tier city,No,College degree,1 year,medium,Private-owned,Over 10k,Finance,Java Developer
12272,17727,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,150-500,Education,Senior software engineer
13636,20454,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Engineering/Electronic technology,Senior software engineer
20454,34090,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,5000-10000,Computer Software/Hardware,Software Engineer
17727,34090,Foshan,Third-tier city,No,Bachelor,3 years,medium,Private-owned,1000-5000,Others,Senior software engineer
16363,24545,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,E-commerce,Senior software engineer
8181,16363,Guangzhou,First-tier city,No,College degree,5 years,medium,Private-owned,50-150,Others,Web front-end development
13636,19090,Suzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer services,Senior software engineer
20454,34090,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Engineering/Electronic technology,Internet Software Development Engineer
8181,20454,Chengdu,Other First-tier city,No,Bachelor,2 years,medium,State-owned,500-1000,Computer Software/Hardware,Software Engineer
20454,34090,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Service,Senior software engineer
10909,13636,Ningbo,Second-tier city,No,College degree,2 years,medium,Private-owned,50-150,E-commerce,Internet Software Development Engineer
5454,10909,Guangzhou,First-tier city,No,Bachelor,Fresh graduate,low,Listed,500-1000,Equipment,Software Engineer
8181,13636,Guangzhou,First-tier city,No,Bachelor,1 year,low,Private-owned,500-1000,Computer services,Software Engineer
13636,24545,Hangzhou,Other First-tier city,No,Bachelor,4 years,medium,Private-owned,150-500,Medical/Biological Engineering,Software Engineer
6818,9545,Hangzhou,Other First-tier city,No,Bachelor,1 year,low,Private-owned,150-500,Computer Software/Hardware,Web front-end development
16363,21818,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,E-commerce,Software Engineer
13636,21818,Nanchang,Second-tier city,No,Bachelor,3 years,medium,Listed,1000-5000,E-commerce,Senior software engineer
8181,13636,Guangzhou,First-tier city,No,Bachelor,3 years,low,Private-owned,Less than 50,E-commerce,Software Engineer
10909,16363,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,150-500,Computer services,Software Engineer
8181,10909,Chengdu,Other First-tier city,No,College degree,3 years,low,Listed,500-1000,Equipment,Software Engineer
8181,10909,Suzhou,Other First-tier city,No,Bachelor,1 year,low,Private-owned,150-500,Equipment,Software Engineer
20454,40909,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Service,Internet Software Development Engineer
20454,40909,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,E-commerce,Senior software engineer
8181,10909,Shaoxing,Third-tier city,No,Bachelor,2 years,low,Private-owned,50-150,Equipment,Senior software engineer
12272,20454,Suzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Engineering/Electronic technology,Software Engineer
20454,27272,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Professional service,Senior software engineer
27272,34090,Guangzhou,First-tier city,No,College degree,5 years,medium,Private-owned,500-1000,E-commerce,Java Developer
9545,20454,Guangzhou,First-tier city,No,College degree,1 year,medium,Private-owned,150-500,Professional service,Software Engineer
6818,9545,Hangzhou,Other First-tier city,No,Bachelor,Fresh graduate,low,Private-owned,Less than 50,Engineering/Electronic technology,Web front-end development
10909,20454,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,50-150,E-commerce,Internet Software Development Engineer
9545,13636,Third-tier city,Third-tier city,No,College degree,3 years,medium,Private-owned,500-1000,Others,Senior software engineer
8181,10909,Xuzhou,Third-tier city,No,College degree,1 year,low,Private-owned,150-500,Computer services,Senior software engineer
8181,13636,Ningbo,Second-tier city,No,Bachelor,2 years,low,Private-owned,50-150,Equipment,Software Engineer
27272,34090,Foshan,Third-tier city,No,Master,8 years,medium,Private-owned,500-1000,E-commerce,Java Developer
27272,54545,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,500-1000,Service,Senior software engineer
15000,20454,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,1000-5000,Computer services,Senior software engineer
27272,34090,Guangzhou,First-tier city,No,Bachelor,1 year,medium,Private-owned,500-1000,Computer services,System architect
10909,15000,Chengdu,Other First-tier city,No,Bachelor,2 years,medium,Listed,1000-5000,Communications/Telecommunications/Network equipment,Senior software engineer
8181,13636,Dongguan,Second-tier city,No,Not Required,2 years,low,Private-owned,Less than 50,Computer services,Senior software engineer
10909,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Joint venture,1000-5000,Equipment,Others
18181,26136,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,State-owned,5000-10000,Education,Senior software engineer
8181,10909,Suzhou,Other First-tier city,No,Bachelor,1 year,low,Joint venture,Less than 50,Professional service,Software Engineer
13636,20454,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,500-1000,Others,Software Engineer
8181,13636,Nanjing,Other First-tier city,No,Bachelor,1 year,low,Private-owned,50-150,Computer Software/Hardware,Internet Software Development Engineer
40909,54545,Shenzhen,Other First-tier city,No,Not Required,Not Required,medium,Private-owned,Less than 50,Gaming,Internet Software Development Engineer
38181,47727,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Service,System architect
13636,20454,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,Less than 50,E-commerce,Software Engineer
8181,10909,Guangzhou,First-tier city,No,Bachelor,Not Required,low,Private-owned,50-150,Computer Software/Hardware,Internet Software Development Engineer
27272,34090,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Computer services,Senior software engineer
11363,17045,Guangzhou,First-tier city,No,Bachelor,1 year,medium,Private-owned,Less than 50,Computer services,Senior software engineer
10909,24545,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Computer services,Senior software engineer
10909,13636,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Medical/Biological Engineering,Technical support/maintenance engineer
34090,54545,Guangzhou,First-tier city,No,Bachelor,5 years,medium,State-owned,150-500,Communications/Telecommunications/Network equipment,Java Developer
17727,34090,Guangzhou,First-tier city,No,College degree,3 years,medium,Listed,1000-5000,Computer Software/Hardware,Internet Software Development Engineer
6818,21818,Suzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Equipment,Software Engineer
8181,10909,Chengdu,Other First-tier city,No,Bachelor,3 years,low,Private-owned,50-150,Computer services,Software Engineer
10909,13636,Third-tier city,Third-tier city,No,College degree,3 years,medium,Private-owned,150-500,E-commerce,Internet Software Development Engineer
10909,17727,Nanjing,Other First-tier city,No,College degree,3 years,medium,Private-owned,150-500,Computer services,Senior software engineer
16363,27272,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,Computer services,Senior software engineer
13636,20454,Third-tier city,Third-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Equipment,Software Engineer
16363,21818,Dongguan,Second-tier city,No,College degree,3 years,medium,Listed,1000-5000,Engineering/Electronic technology,Internet Software Development Engineer
10909,20454,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,500-1000,Finance,Internet Software Development Engineer
6818,20454,Ningbo,Second-tier city,No,Bachelor,2 years,medium,New,50-150,Computer Software/Hardware,Senior software engineer
16363,27272,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,1000-5000,Gaming,Software Engineer
2045,2727,Jiaxing,Third-tier city,Yes,College degree,Fresh graduate,low,Foreign (except EU & US),Less than 50,Computer services,Software Engineer
13636,20454,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Computer Software/Hardware,Senior software engineer
11363,17045,Jiaxing,Third-tier city,No,Bachelor,2 years,medium,State-owned,150-500,Computer services,Software Engineer
27272,40909,Guangzhou,First-tier city,No,College degree,5 years,medium,Joint venture,1000-5000,Computer Software/Hardware,Senior software engineer
28409,45454,Guangzhou,First-tier city,No,Bachelor,5 years,medium,Private-owned,150-500,E-commerce,Java Developer
13636,20454,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Computer Software/Hardware,Senior software engineer
8181,10909,Shaoxing,Third-tier city,No,Bachelor,Not Required,low,Private-owned,1000-5000,Others,Software Engineer
8181,10909,Hangzhou,Other First-tier city,No,College degree,2 years,low,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
9545,16363,Guangzhou,First-tier city,No,College degree,2 years,medium,Listed,1000-5000,Engineering/Electronic technology,Software Engineer
2727,5454,Guangzhou,First-tier city,No,College degree,Not Required,low,Private-owned,Less than 50,Computer services,Software Engineer
20454,27272,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,E-commerce,Senior software engineer
5454,10909,Guangzhou,First-tier city,No,College degree,2 years,low,Private-owned,50-150,Computer Software/Hardware,Software Engineer
6818,27272,Nanjing,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,Less than 50,Computer Software/Hardware,Software Engineer
8181,10909,Nanjing,Other First-tier city,No,College degree,3 years,low,Private-owned,50-150,Computer Software/Hardware,Software Engineer
8181,20454,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,Less than 50,E-commerce,Internet Software Development Engineer
10909,20454,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,50-150,Computer Software/Hardware,Software Engineer
27272,34090,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Joint venture,50-150,E-commerce,Internet Software Development Engineer
13636,20454,Nanchang,Second-tier city,No,Bachelor,2 years,medium,Private-owned,50-150,Engineering/Electronic technology,Internet Software Development Engineer
13636,20454,Wuxi,Second-tier city,No,Bachelor,3 years,medium,Private-owned,1000-5000,Medical/Biological Engineering,Senior software engineer
13636,20454,Guangzhou,First-tier city,No,College degree,2 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Internet Software Development Engineer
8181,10909,Xuzhou,Third-tier city,No,Bachelor,Fresh graduate,low,Private-owned,Less than 50,Engineering/Electronic technology,Software Engineer
5454,7500,Dongguan,Second-tier city,No,College degree,1 year,low,Private-owned,Less than 50,E-commerce,Software Engineer
6136,8181,Guangzhou,First-tier city,No,College degree,1 year,low,Private-owned,Less than 50,Computer Software/Hardware,Software Engineer
13636,20454,Nanjing,Other First-tier city,No,College degree,3 years,medium,Private-owned,50-150,E-commerce,Software Engineer
8181,10227,Changzhou,Third-tier city,No,Bachelor,2 years,low,Listed,150-500,Computer Software/Hardware,Senior software engineer
20454,27272,Nanjing,Other First-tier city,No,Not Required,2 years,medium,Private-owned,150-500,Finance,Senior software engineer
8181,16363,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Joint venture,50-150,Computer services,Senior software engineer
10909,16363,Hangzhou,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,5000-10000,Professional service,Internet Software Development Engineer
