jobname,salary_min_BGP,salary_max_BGP,joblocation,Internship,education,experience,Average_salary,company_style,company_scale,job_industry,job_classification,salary_grade,,,,,,,
Java开发工程师,10909,16363,Nanjing,No,Bachelor,Not Required,13636,Private-owned,150-500,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
Java高级开发工程师,13636,24545,Nanjing,No,Bachelor,3 years,19090,Private-owned,50-150,Electronic technology,Software engineer,medium,,,,,,,
Java开发工程师,10909,13636,Guangzhou,No,Bachelor,3 years,12272,New,Less than 50,Computer services,Software engineer,medium,,,,,,,
.NET、 JAVA开发工程师初级,8181,10909,Jiaxing,No,College degree,1 year,9545,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,low,,,,,,,
Java开发工程师,10909,20454,Dongguan,No,Bachelor,2 years,15681,Private-owned,1000-5000,Wholesale and retail,Senior software engineer,medium,,,,,,,
Java游戏服务器工程师,27272,54545,Guangzhou,No,College degree,3 years,40908,Private-owned,150-500,Gaming,Multimedia/Game Development Engineer,high,,,,,,,
Java高级开发工程师,27272,34090,Ningbo,No,Bachelor,5 years,30681,Private-owned,150-500,Finance,Senior software engineer,high,,,,,,,
java工程师（中级）,10909,20454,Wenzhou,No,College degree,3 years,15681,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
java工程师（非实习岗位，3年以上经验）,8181,10909,Nanjing,No,College degree,Fresh graduate,9545,Private-owned,50-150,E-commerce,Other,low,,,,,,,
Java开发工程师,8181,16363,Guangzhou,No,Bachelor,1 year,12272,Private-owned,150-500,Computer services,Software engineer,medium,,,,,,,
java开发工程师+五险一金+双休,10909,16363,Nanjing,No,College degree,3 years,13636,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,medium,,,,,,,
高级Java开发工程师,10909,17727,Chengdu,No,Bachelor,3 years,14318,State-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
中级JAVA,10909,17727,Chengdu,No,College degree,5 years,14318,Private-owned,1000-5000,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
高级Java开发工程师,20454,34090,Hangzhou,No,Bachelor,3 years,27272,New,Less than 50,Domestic services,Senior software engineer,high,,,,,,,
JAVA开发工程师,6818,9545,Guangzhou,No,College degree,1 year,8181,Listed,500-1000,E-commerce,Software engineer,low,,,,,,,
Java开发工程师 (职位编号：01-003),17045,45454,Nanjing,No,Bachelor,3 years,31249,Joint venture,1000-5000,Computer Software/Hardware,Software engineer,high,,,,,,,
Java开发工程师,10909,20454,Foshan,No,College degree,1 year,15681,Private-owned,Less than 50,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
JAVA软件工程师,10909,13636,Changzhou,No,Bachelor,2 years,12272,Private-owned,150-500,Industrial Automation,Software engineer,medium,,,,,,,
Java开发工程师,10909,13636,Nanjing,No,Bachelor,2 years,12272,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Nantong,No,Not Required,Not Required,9545,Private-owned,Less than 50,Agriculture,Senior software engineer,low,,,,,,,
Java/Jsp开发工程师,10909,13636,Jiaxing,No,Bachelor,2 years,12272,Private-owned,500-1000,E-commerce,Internet Software Development Engineer,medium,,,,,,,
Java中级工程师,8181,24545,Chengdu,No,Bachelor,2 years,16363,Private-owned,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java高级开发工程师,13636,27272,Chengdu,No,Bachelor,5 years,20454,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
中高级JAVA开发工程师,8181,10909,Xuzhou,No,College degree,2 years,9545,Foreign (except EU & US),500-1000,Computer services,Senior software engineer,low,,,,,,,
Java开发工程师（移动端开发）,13636,20454,Guangzhou,No,Bachelor,3 years,17045,Private-owned,150-500,E-commerce,Senior software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Ningbo,No,College degree,5 years,17045,Joint venture,500-1000,Automobile Accessories,System engineer,medium,,,,,,,
Java开发工程师,13636,27272,Nanjing,No,Bachelor,1 year,20454,Private-owned,50-150,Electronic technology,Senior software engineer,medium,,,,,,,
Java开发工程师,20454,34090,Guangzhou,No,Bachelor,3 years,27272,Foreign (except EU & US),50-150,Finance,Senior software engineer,high,,,,,,,
2020届Java开发实习生,2727,4090,Shanghai,Yes,Bachelor,Fresh graduate,3408,Private-owned,150-500,E-commerce,Software engineer,low,,,,,,,
Java高级开发工程师,20454,27272,Guangzhou,No,College degree,3 years,23863,Private-owned,Less than 50,Transportation,Other,medium,,,,,,,
Java开发培训工程师,8181,16363,Jiaxing,No,College degree,2 years,12272,Private-owned,Less than 50,E-commerce,Senior software engineer,medium,,,,,,,
java开发工程师,13636,20454,Hangzhou,No,College degree,3 years,17045,Private-owned,50-150,Communications/Telecommunications/Network equipment,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,4090,8181,Nanjing,No,Bachelor,1 year,6135,Private-owned,Less than 50,E-commerce,Software engineer,low,,,,,,,
Java web软件开发工程师,9545,20454,Wuxi,No,Bachelor,Not Required,14999,Private-owned,500-1000,Medical,Software engineer,medium,,,,,,,
Java软件开发（2020校招）,9090,11363,Hangzhou,No,Bachelor,Fresh graduate,10226,Private-owned,5000-10000,Accounting,Software engineer,low,,,,,,,
Java高级开发工程师,13636,20454,Suzhou,No,Bachelor,2 years,17045,Private-owned,Less than 50,Industrial Automation,Senior software engineer,medium,,,,,,,
Java开发工程师,13636,24545,Nanjing,No,Bachelor,3 years,19090,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
Java高级开发工程师,20454,27272,Nanjing,No,College degree,3 years,23863,Private-owned,150-500,Industrial Automation,Senior software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Guangzhou,No,Bachelor,2 years,17045,Private-owned,Less than 50,Gaming,Internet Software Development Engineer,medium,,,,,,,
Java服务器开发工程师,16363,34090,Guangzhou,No,Bachelor,3 years,25226,Private-owned,50-150,E-commerce,Senior Internet Software Development Engineer,high,,,,,,,
软件研发工程师(java方向）,7954,10227,Changzhou,No,Bachelor,Not Required,9090,State-owned,1000-5000,E-commerce,Senior software engineer,low,,,,,,,
Java开发工程师,13636,20454,Hangzhou,No,College degree,3 years,17045,Private-owned,Less than 50,E-commerce,Software engineer,medium,,,,,,,
初级JAVA开发,4772,7500,Hangzhou,No,College degree,1 year,6136,Private-owned,50-150,E-commerce,Internet Software Development Engineer,low,,,,,,,
Java开发工程师,13636,20454,Hangzhou,No,Bachelor,3 years,17045,Listed,150-500,Trading,Software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Guangzhou,No,College degree,1 year,17045,Foreign (except EU & US),150-500,E-commerce,Internet Software Development Engineer,medium,,,,,,,
高级Java开发工程师（广州番禺区） (MJ001870),23181,38181,Beijing,No,Bachelor,5 years,30681,Listed,5000-10000,E-commerce,Java Developer,high,,,,,,,
Java软件工程师,10909,20454,Hangzhou,No,Not Required,Not Required,15681,Listed,500-1000,Medical,Software engineer,medium,,,,,,,
软件开发工程师（Java）,10909,16363,Guangzhou,No,Bachelor,2 years,13636,Private-owned,50-150,Electronic technology,Software engineer,medium,,,,,,,
高级JAVA开发工程师 (职位编号：000335),34090,40909,Guangzhou,No,College degree,5 years,37499,Private-owned,150-500,E-commerce,Senior software engineer,high,,,,,,,
Java软件工程师,20454,25909,Changzhou,No,Bachelor,3 years,23181,Private-owned,1000-5000,Automobile Accessories,Java Developer,medium,,,,,,,
Java开发工程师,20454,27272,Suzhou,No,Not Required,3 years,23863,Foreign(EU & US),500-1000,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Foshan,No,College degree,2 years,9545,Private-owned,50-150,Computer services,Senior software engineer,low,,,,,,,
Java资深开发工程师,27272,34090,Suzhou,No,Bachelor,5 years,30681,Private-owned,1000-5000,E-commerce,Senior Internet Software Development Engineer,high,,,,,,,
JAVA高级开发工程师（珠海）,17045,22727,Zhuhai,No,Bachelor,3 years,19886,Private-owned,500-1000,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师（常州）,13636,24545,Changzhou,No,Bachelor,2 years,19090,Foreign (except EU & US),Over 10k,Electronic technology,Java Developer,medium,,,,,,,
Java开发工程师,13636,27272,Guangzhou,No,College degree,2 years,20454,Private-owned,150-500,Gaming,Multimedia/Game Development Engineer,medium,,,,,,,
JAVA开发工程师,11363,34090,Nanjing,No,Bachelor,3 years,22726,Joint venture,150-500,Finance,Software engineer,medium,,,,,,,
高级JAVA开发（SDN控制器） (职位编号：WL104),21000,21000,Nanjing,No,Master,3 years,21000,Institution,500-1000,Academic research,Senior software engineer,medium,,,,,,,
java中、高级软件开发工程师,10909,16363,Nanjing,No,Bachelor,3 years,13636,Private-owned,150-500,Industrial Automation,Senior software engineer,medium,,,,,,,
JAVA软件工程师,10909,17727,Guangzhou,No,College degree,2 years,14318,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,10909,13636,Guangzhou,No,Bachelor,2 years,12272,Private-owned,1000-5000,Computer services,Internet Software Development Engineer,medium,,,,,,,
Java高级开发工程师,22727,56818,Guangzhou,No,Bachelor,5 years,39772,Private-owned,50-150,Clothing,Senior software engineer,high,,,,,,,
Java研发工程师,13636,16363,Nanjing,No,College degree,2 years,14999,Private-owned,50-150,Aviation,Senior software engineer,medium,,,,,,,
Java开发（spring cloud）,13636,20454,Guangzhou,No,Bachelor,3 years,17045,Private-owned,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java中级开发工程师,10909,20454,Hangzhou,No,Bachelor,3 years,15681,New,150-500,Electronic technology,Software engineer,medium,,,,,,,
Java开发工程师-南京,10909,20454,Nanjing,No,Not Required,Not Required,15681,Private-owned,150-500,Electronic technology,Software engineer,medium,,,,,,,
Java开发工程师,6818,16363,Guangzhou,No,College degree,1 year,11590,Private-owned,50-150,Computer services,ERP development,low,,,,,,,
Java开发工程师,10909,13636,Guangzhou,No,Bachelor,1 year,12272,Private-owned,50-150,Computer services,Web front-end development,medium,,,,,,,
java软件工程师（南京分公司）,12272,21818,Nanjing,No,Bachelor,3 years,17045,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java高级开发工程师,24545,34090,Nanjing,No,Bachelor,3 years,29317,Private-owned,150-500,E-commerce,Senior software engineer,high,,,,,,,
Java中高级开发工程师,13636,20454,Guangzhou,No,Bachelor,2 years,17045,Private-owned,Less than 50,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Guangzhou,No,Bachelor,2 years,17045,Private-owned,50-150,E-commerce,System architect,medium,,,,,,,
Java开发工程师,16363,24545,Nanjing,No,Bachelor,3 years,20454,Private-owned,150-500,E-commerce,Senior software engineer,medium,,,,,,,
JAVA中级工程师（实施）,10909,13636,Nanjing,No,Bachelor,3 years,12272,Private-owned,150-500,Computer services,Software engineer,medium,,,,,,,
Java高级开发工程师,13636,20454,Nanjing,No,Bachelor,5 years,17045,Foreign (except EU & US),50-150,Education,Senior software engineer,medium,,,,,,,
Java开发工程师,16363,23181,Hangzhou,No,College degree,3 years,19772,Private-owned,50-150,Education,Internet Software Development Engineer,medium,,,,,,,
高级软件工程师（Java ）,12272,17727,Suzhou,No,College degree,3 years,14999,Foreign (except EU & US),50-150,Computer services,Senior software engineer,medium,,,,,,,
系统开发工程师（JAVA）,13636,20454,Hangzhou,No,College degree,3 years,17045,Listed,1000-5000,New energy,Java Developer,medium,,,,,,,
高级JAVA服务器开发工程师,13636,20454,Dongguan,No,College degree,2 years,17045,Private-owned,50-150,Computer Software/Hardware,Multimedia/Game Development Engineer,medium,,,,,,,
Java高级开发工程师,19090,21818,Suzhou,No,Bachelor,3 years,20454,Private-owned,Less than 50,Wholesale and retail,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Nanjing,No,Bachelor,Fresh graduate,9545,Foreign(EU & US),50-150,Medical,Algorithm engineer,low,,,,,,,
Java开发工程师,8181,10909,Hangzhou,No,Bachelor,2 years,9545,Private-owned,50-150,Electronic technology,Software engineer,low,,,,,,,
Java高级开发工程师,20454,34090,Guangzhou,No,Bachelor,5 years,27272,Private-owned,50-150,Finance,Senior software engineer,high,,,,,,,
Java开发工程师 （英文熟练）,10909,20454,Guangzhou,No,Bachelor,2 years,15681,Foreign(EU & US),1000-5000,Printing,Software engineer,medium,,,,,,,
Java开发工程师,20454,34090,Hangzhou,No,Bachelor,5 years,27272,Private-owned,1000-5000,Outsourcing,Internet Software Development Engineer,high,,,,,,,
网易考拉Java开发工程师,19090,27272,Hangzhou,No,Bachelor,3 years,23181,Private-owned,Over 10k,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
Java开发工程师,8181,13636,Zhuhai,No,Bachelor,1 year,10908,Private-owned,Less than 50,Electronic technology,Internet Software Development Engineer,low,,,,,,,
Java中级开发工程师,10909,21818,Suzhou,No,Not Required,2 years,16363,Private-owned,1000-5000,Gaming,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,6818,10909,Suzhou,No,College degree,5 years,8863,Private-owned,50-150,Computer Software/Hardware,Software engineer,low,,,,,,,
Java开发经理,20454,27272,Nanjing,No,Bachelor,3 years,23863,Private-owned,500-1000,Real estate,Project manager,medium,,,,,,,
JAVA研发工程师,11363,20454,Guiyang,No,Bachelor,2 years,15908,Joint venture,50-150,E-commerce,Java Developer,medium,,,,,,,
Java script中级工程师,5454,8181,Third-tier city,No,Bachelor,3 years,6817,Private-owned,500-1000,Wholesale and retail,Script Development Engineer,low,,,,,,,
Java开发工程师,5454,10909,Huizhou,No,College degree,1 year,8181,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer,low,,,,,,,
Java高级开发工程师,27272,40909,Guangzhou,No,Bachelor,5 years,34090,Foreign (except EU & US),150-500,Finance,Senior software engineer,high,,,,,,,
Java软件工程师,8181,20454,Wuxi,No,Master,3 years,14317,State-owned,50-150,Academic research,Senior software engineer,medium,,,,,,,
Java中级开发工程师,4772,7500,Third-tier city,No,College degree,2 years,6136,Private-owned,Less than 50,E-commerce,Software engineer,low,,,,,,,
JAVA后端开发工程师,9545,16363,Guangzhou,No,College degree,Fresh graduate,12954,Private-owned,150-500,Professional service,Software engineer,medium,,,,,,,
高级JAVA,20454,34090,Hangzhou,No,Bachelor,3 years,27272,Listed,150-500,Electronic technology,Java Developer,high,,,,,,,
Java开发工程师,8181,12272,Guangzhou,No,Bachelor,Fresh graduate,10226,Private-owned,50-150,Computer Software/Hardware,Internet Software Development Engineer,low,,,,,,,
Java架构师,34090,35454,Guangzhou,No,Bachelor,over 10 years,34772,Private-owned,50-150,E-commerce,Java Developer,high,,,,,,,
Java开发工程师朝九晚六双休,13636,27272,Chengdu,No,Bachelor,3 years,20454,Private-owned,Less than 50,E-commerce,Java Developer,medium,,,,,,,
JAVA开发工程师年底双薪,4090,6136,Guangzhou,No,College degree,Not Required,5113,Private-owned,150-500,Computer Software/Hardware,Software engineer,low,,,,,,,
Java高级开发工程师,20454,40909,Guangzhou,No,Bachelor,5 years,30681,Private-owned,Over 10k,Communications/Telecommunications/Network equipment,Senior software engineer,high,,,,,,,
Java开发工程师（2020届）,6818,16363,Guangzhou,No,Bachelor,Fresh graduate,11590,Private-owned,150-500,E-commerce,Software engineer,low,,,,,,,
java开发工程师,10909,13636,Nanjing,No,Bachelor,Not Required,12272,Listed,150-500,Electronic technology,Software engineer,medium,,,,,,,
Java初级开发工程师,10909,13636,Guangzhou,No,Bachelor,2 years,12272,Listed,150-500,E-commerce,Software engineer,medium,,,,,,,
Java技术经理,27272,34090,Guangzhou,No,Bachelor,over 10 years,30681,Private-owned,50-150,E-commerce,Technical Manager,high,,,,,,,
Java开发工程师,13636,20454,Guangzhou,No,Bachelor,3 years,17045,Private-owned,50-150,E-commerce,Internet Software Development Engineer,medium,,,,,,,
Java高级开发工程师,20454,27272,Hangzhou,No,Bachelor,5 years,23863,State-owned,150-500,E-commerce,Senior software engineer,medium,,,,,,,
Java项目经理,20454,34090,Guangzhou,No,Bachelor,8 years,27272,Private-owned,50-150,Communications/Telecommunications/Network equipment,Project manager,high,,,,,,,
Java高级开发工程师,34090,40909,Dongguan,No,College degree,5 years,37499,Private-owned,50-150,Engineering,Senior software engineer,high,,,,,,,
Java开发工程师(杭州）,16363,20454,Hangzhou,No,College degree,3 years,18408,Listed,5000-10000,Outsourcing,Software engineer,medium,,,,,,,
JAVA开发工程师,15909,39772,Hangzhou,No,Bachelor,3 years,27840,New,150-500,Transportation,Software engineer,high,,,,,,,
JAVA软件研发工程师,13636,20454,Guangzhou,No,Bachelor,2 years,17045,Private-owned,50-150,Computer services,Senior software engineer,medium,,,,,,,
Java实习生,2727,5454,Guangzhou,Yes,Bachelor,Fresh graduate,4090,Listed,1000-5000,Communications/Telecommunications/Network equipment,Java Developer,low,,,,,,,
Java高级开发工程师,13636,20454,Wuxi,No,College degree,5 years,17045,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
游戏Java服务器开发工程师,20454,34090,Chengdu,No,Bachelor,5 years,27272,Listed,1000-5000,Gaming,Multimedia/Game Development Engineer,high,,,,,,,
Java开发工程师,9545,16363,Chengdu,No,Bachelor,3 years,12954,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师,9545,12272,Guangzhou,No,College degree,2 years,10908,Private-owned,50-150,Computer services,Internet Software Development Engineer,low,,,,,,,
Java高级开发工程师,34090,40909,Hangzhou,No,Not Required,5 years,37499,Private-owned,500-1000,Furniture,Senior software engineer,high,,,,,,,
Java应用软件高级开发工程师,16363,23181,Shenzhen,No,College degree,over 10 years,19772,Private-owned,50-150,Electronic technology,Senior software engineer,medium,,,,,,,
高级Java开发工程师,17045,22727,Hangzhou,No,Bachelor,5 years,19886,Private-owned,150-500,Finance,Software engineer,medium,,,,,,,
Java开发工程师,10909,17727,Guangzhou,No,Bachelor,2 years,14318,Private-owned,150-500,Transportation,System engineer,medium,,,,,,,
Java开发工程师 (职位编号：002),11363,22727,Guangzhou,No,Bachelor,3 years,17045,Private-owned,Less than 50,E-commerce,Senior software engineer,medium,,,,,,,
Java高级开发工程师,13636,27272,Nanjing,No,Bachelor,5 years,20454,State-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师,9090,11363,Guangzhou,No,Bachelor,1 year,10226,Private-owned,Less than 50,Electronic technology,Software engineer,low,,,,,,,
Java前端开发工程师,10909,20454,Zhuhai,No,College degree,3 years,15681,Private-owned,1000-5000,Health & Beauty,Software engineer,medium,,,,,,,
JAVA开发工程师（应用研发）,15000,20454,Guangzhou,No,Bachelor,3 years,17727,Private-owned,50-150,Professional service,Software engineer,medium,,,,,,,
高级JAVA开发工程师,13636,27272,Guangzhou,No,Bachelor,5 years,20454,Private-owned,50-150,Professional service,Senior software engineer,medium,,,,,,,
Java架构师,34090,40909,Shenzhen,No,Bachelor,5 years,37499,Private-owned,50-150,Machinery/Equipment,Java Developer,high,,,,,,,
Java开发工程师 (职位编号：TCL002915),13636,20454,Huizhou,No,Bachelor,4 years,17045,Joint venture,Over 10k,Furniture,Software engineer,medium,,,,,,,
Java高级工程师,16363,21818,Guangzhou,No,Bachelor,3 years,19090,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java高级开发工程师 (职位编号：WBKJ-TC-005),16363,20454,Chengdu,No,College degree,5 years,18408,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师（近地铁口+良好氛围）,10909,20454,Guangzhou,No,College degree,2 years,15681,Private-owned,150-500,Wholesale and retail,Technical support/maintenance engineer,medium,,,,,,,
JAVA开发工程师,12272,20454,Nanjing,No,Bachelor,2 years,16363,Private-owned,50-150,Computer services,Senior software engineer,medium,,,,,,,
Java开发工程师,10909,20454,Chengdu,No,Bachelor,3 years,15681,Private-owned,50-150,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
JAVA软件工程师,11363,22727,Hangzhou,No,Bachelor,2 years,17045,Listed,50-150,Industrial Automation,Software engineer,medium,,,,,,,
JAVA 研发工程师,10909,20454,Nanjing,No,Bachelor,2 years,15681,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
高级JAVA软件工程师 (职位编号：1),12272,20454,Guangzhou,No,College degree,3 years,16363,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
Java软件开发工程师(六险一金+餐补+年终奖 国企),8181,12272,Guangzhou,No,Bachelor,1 year,10226,State-owned,50-150,Computer services,Software engineer,low,,,,,,,
JAVA后端开发工程师,8181,13636,Hangzhou,No,Bachelor,1 year,10908,Private-owned,150-500,Tourism,Software engineer,low,,,,,,,
Java高级开发工程师,13636,16363,Hangzhou,No,College degree,3 years,14999,Private-owned,Less than 50,Computer services,Senior software engineer,medium,,,,,,,
Java高级开发工程师,22727,34090,Ningbo,No,Bachelor,5 years,28408,Private-owned,50-150,Computer services,Senior software engineer,high,,,,,,,
JAVA高级工程师 (职位编号：AUDOJAVAM3),10909,21818,Guangzhou,No,Bachelor,5 years,16363,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java工程师,13636,20454,Hangzhou,No,College degree,3 years,17045,Private-owned,1000-5000,Furniture,Software engineer,medium,,,,,,,
Java开发工程师,11363,17045,Dongguan,No,Bachelor,1 year,14204,Foreign (except EU & US),Over 10k,Electronic technology,Software engineer,medium,,,,,,,
Java后台开发工程师,5454,13636,Guangzhou,No,College degree,1 year,9545,Private-owned,50-150,Computer Software/Hardware,Internet Software Development Engineer,low,,,,,,,
java微服务资深工程师,13636,20454,Chengdu,No,Bachelor,5 years,17045,Joint venture,150-500,Decoration,Senior software engineer,medium,,,,,,,
Java开发工程师,10909,16363,Guangzhou,No,Bachelor,2 years,13636,Private-owned,50-150,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java高级开发工程师,9545,16363,Suzhou,No,Bachelor,3 years,12954,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Suzhou,No,Bachelor,3 years,17045,Private-owned,50-150,Industrial Automation,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,8181,10909,Zhuhai,No,College degree,1 year,9545,Listed,150-500,Computer Software/Hardware,Internet Software Development Engineer,low,,,,,,,
Java开发工程师（兼运维）,8181,11590,Guangzhou,No,College degree,1 year,9885,Listed,150-500,E-commerce,Software engineer,low,,,,,,,
Java开发工程师,4090,8181,Chengdu,No,Bachelor,Fresh graduate,6135,Private-owned,50-150,Computer services,Internet Software Development Engineer,low,,,,,,,
Java高级开发工程师（后端）,10909,21818,Guangzhou,No,Bachelor,1 year,16363,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior Internet Software Development Engineer,medium,,,,,,,
JAVA实习生,2727,5454,Jinhua,Yes,College degree,Fresh graduate,4090,Private-owned,50-150,Computer Software/Hardware,Java Developer,low,,,,,,,
Java开发工程师（人工智能事业部）,13636,20454,Zhuhai,No,Bachelor,3 years,17045,Listed,1000-5000,Computer services,Java Developer,medium,,,,,,,
Java后台开发工程师,9545,21818,Changsha,No,Bachelor,3 years,15681,Private-owned,50-150,Computer Software/Hardware,Java Developer,medium,,,,,,,
Java高级开发工程师,13636,24545,Shanghai,No,Bachelor,3 years,19090,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师,10909,15000,Guangzhou,No,College degree,2 years,12954,Private-owned,150-500,E-commerce,Software engineer,medium,,,,,,,
Java开发工程师,20454,40909,Guangzhou,No,College degree,5 years,30681,Private-owned,150-500,E-commerce,Java Developer,high,,,,,,,
Java开发工程师,8181,10909,Guangzhou,No,Bachelor,1 year,9545,Private-owned,150-500,Computer Software/Hardware,Java Developer,low,,,,,,,
Java开发工程师,13636,20454,Nanjing,No,Bachelor,2 years,17045,Private-owned,50-150,Electronic technology,Software engineer,medium,,,,,,,
Java开发工程师,9545,19090,Nanjing,No,Bachelor,2 years,14317,Private-owned,Over 10k,Diversified Business Group Companies,Java Developer,medium,,,,,,,
Java开发工程师,6136,10909,Nanjing,No,Bachelor,1 year,8522,Private-owned,50-150,Computer Software/Hardware,Software engineer,low,,,,,,,
Java中级开发工程师,10909,20454,Nanjing,No,Bachelor,2 years,15681,Private-owned,150-500,Diversified Business Group Companies,Software engineer,medium,,,,,,,
Java开发工程师,16363,24545,Guangzhou,No,Bachelor,2 years,20454,Private-owned,50-150,Gaming,Java Developer,medium,,,,,,,
SPBU-后端开发工程师（Java/php),20454,27272,Guangzhou,No,Bachelor,3 years,23863,Private-owned,1000-5000,E-commerce,Other,medium,,,,,,,
Java开发经理,27272,40909,Guangzhou,No,Bachelor,8 years,34090,Private-owned,150-500,Computer services,Software engineer,high,,,,,,,
Java架构师,27272,40909,Chengdu,No,Bachelor,8 years,34090,Private-owned,150-500,Tourism,System architect,high,,,,,,,
JAVA工程师 (职位编号：001),10909,20454,Hangzhou,No,College degree,2 years,15681,Private-owned,50-150,Computer Software/Hardware,Software engineer,medium,,,,,,,
java软件工程师 (职位编号：005),13636,20454,Guangzhou,No,College degree,3 years,17045,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
JAVA研发工程师,9545,16363,Wuxi,No,Bachelor,2 years,12954,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java架构师,34090,45454,Guangzhou,No,Bachelor,5 years,39772,State-owned,1000-5000,Communications/Telecommunications/Network equipment,System architect,high,,,,,,,
Java高级开发工程师,13636,27272,Nanjing,No,College degree,3 years,20454,Private-owned,Less than 50,Domestic services,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,8181,16363,Wuxi,No,College degree,2 years,12272,Private-owned,50-150,Electronic technology,Software engineer,medium,,,,,,,
高级软件工程师（java）,11363,17045,Third-tier city,No,College degree,1 year,14204,New,Less than 50,Computer services,Senior software engineer,medium,,,,,,,
Java开发工程师,10909,13636,Suzhou,No,College degree,3 years,12272,Private-owned,150-500,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java开发高级工程师 金融、移动医疗,13636,20454,Guangzhou,No,Bachelor,5 years,17045,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,6136,10909,Guangzhou,No,Bachelor,1 year,8522,Private-owned,50-150,Communications/Telecommunications/Network equipment,Software engineer,low,,,,,,,
Java开发工程师,20454,27272,Suzhou,No,Not Required,over 10 years,23863,Private-owned,1000-5000,Medical,Senior software engineer,medium,,,,,,,
Java初级开发餐补社保,8181,10909,Nanjing,No,Bachelor,2 years,9545,Private-owned,150-500,Professional service,Software engineer,low,,,,,,,
Java软件开发工程师,8181,13636,Nanjing,No,Bachelor,2 years,10908,Private-owned,50-150,Electronic technology,Software engineer,low,,,,,,,
Java开发工程师,8181,10909,Chengdu,No,Bachelor,1 year,9545,Private-owned,150-500,Professional service,Senior software engineer,low,,,,,,,
java开发工程师 (职位编号：001955),8181,10909,Nanjing,No,Bachelor,3 years,9545,Private-owned,150-500,Professional service,ERP development,low,,,,,,,
Java开发工程师,20454,27272,Hangzhou,No,Bachelor,3 years,23863,Listed,1000-5000,Computer Software/Hardware,Java Developer,medium,,,,,,,
高级java工程师,13636,27272,Hangzhou,No,Bachelor,2 years,20454,Foreign(EU & US),150-500,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java后台开发工程师,20454,27272,Chengdu,No,Bachelor,5 years,23863,Joint venture,Less than 50,Computer Software/Hardware,Software engineer,medium,,,,,,,
